project_id,fraud_label,is_anomalous,risk_level,scenario_type,investigation_priority
MPLADS-000035,0,0,LOW,NORMAL,ROUTINE
MPLADS-000036,0,0,LOW,NORMAL,ROUTINE
MPLADS-000037,0,0,LOW,NORMAL,ROUTINE
MPLADS-000038,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000039,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000040,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000041,0,0,LOW,NORMAL,ROUTINE
MPLADS-000042,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000043,0,0,LOW,NORMAL,ROUTINE
MPLADS-000044,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000045,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000046,0,0,LOW,NORMAL,ROUTINE
MPLADS-000047,0,0,LOW,NORMAL,ROUTINE
MPLADS-000048,0,0,LOW,NORMAL,ROUTINE
MPLADS-000049,0,0,LOW,NORMAL,ROUTINE
MPLADS-000050,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000051,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000052,0,0,LOW,NORMAL,ROUTINE
MPLADS-000053,0,0,LOW,NORMAL,ROUTINE
MPLADS-000054,0,0,LOW,NORMAL,ROUTINE
MPLADS-000055,0,0,LOW,NORMAL,ROUTINE
MPLADS-000056,0,0,LOW,NORMAL,ROUTINE
MPLADS-000057,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000058,0,0,LOW,NORMAL,ROUTINE
MPLADS-000059,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000060,0,0,LOW,NORMAL,ROUTINE
MPLADS-000061,0,0,LOW,NORMAL,ROUTINE
MPLADS-000062,0,0,LOW,NORMAL,ROUTINE
MPLADS-000063,0,0,LOW,NORMAL,ROUTINE
MPLADS-000064,0,0,LOW,NORMAL,ROUTINE
MPLADS-000065,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000066,0,0,LOW,NORMAL,ROUTINE
MPLADS-000067,0,0,LOW,NORMAL,ROUTINE
MPLADS-000068,0,0,LOW,NORMAL,ROUTINE
MPLADS-000069,0,0,LOW,NORMAL,ROUTINE
MPLADS-000070,0,0,LOW,NORMAL,ROUTINE
MPLADS-000071,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000072,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000073,0,0,LOW,NORMAL,ROUTINE
MPLADS-000074,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000075,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000076,1,1,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,ELEVATED
MPLADS-000077,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000078,0,0,LOW,NORMAL,ROUTINE
MPLADS-000079,0,0,LOW,NORMAL,ROUTINE
MPLADS-000080,0,0,LOW,NORMAL,ROUTINE
MPLADS-000081,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000082,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000083,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000084,0,0,LOW,NORMAL,ROUTINE
MPLADS-000085,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000086,1,1,HIGH,DOCUMENTATION_DEFICIT,ELEVATED
MPLADS-000087,0,0,LOW,NORMAL,ROUTINE
MPLADS-000088,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000089,0,0,LOW,NORMAL,ROUTINE
MPLADS-000090,1,1,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,ELEVATED
MPLADS-000091,0,0,LOW,NORMAL,ROUTINE
MPLADS-000092,1,1,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,ELEVATED
MPLADS-000093,0,0,LOW,NORMAL,ROUTINE
MPLADS-000094,0,0,LOW,NORMAL,ROUTINE
MPLADS-000095,0,0,LOW,NORMAL,ROUTINE
MPLADS-000096,0,0,LOW,NORMAL,ROUTINE
MPLADS-000097,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000098,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000099,0,0,LOW,NORMAL,ROUTINE
MPLADS-000100,0,0,LOW,NORMAL,ROUTINE
MPLADS-000101,1,1,HIGH,PROCUREMENT_SINGLE_BID,ELEVATED
MPLADS-000102,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000103,0,0,LOW,NORMAL,ROUTINE
MPLADS-000104,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000105,0,0,LOW,NORMAL,ROUTINE
MPLADS-000106,0,0,LOW,NORMAL,ROUTINE
MPLADS-000107,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000108,1,1,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,ELEVATED
MPLADS-000109,0,0,LOW,NORMAL,ROUTINE
MPLADS-000110,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000111,0,0,LOW,NORMAL,ROUTINE
MPLADS-000112,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000113,0,0,LOW,NORMAL,ROUTINE
MPLADS-000114,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000115,0,0,LOW,NORMAL,ROUTINE
MPLADS-000116,0,0,LOW,NORMAL,ROUTINE
MPLADS-000117,0,0,LOW,NORMAL,ROUTINE
MPLADS-000118,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000119,0,0,LOW,NORMAL,ROUTINE
MPLADS-000120,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000121,0,0,LOW,NORMAL,ROUTINE
MPLADS-000122,1,1,HIGH,ABANDONED_WORK,ELEVATED
MPLADS-000123,0,0,LOW,NORMAL,ROUTINE
MPLADS-000124,0,0,LOW,NORMAL,ROUTINE
MPLADS-000125,0,0,LOW,NORMAL,ROUTINE
MPLADS-000126,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000127,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000128,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000129,0,0,LOW,NORMAL,ROUTINE
MPLADS-000130,0,0,LOW,NORMAL,ROUTINE
MPLADS-000131,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000132,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000133,0,0,LOW,NORMAL,ROUTINE
MPLADS-000134,0,0,LOW,NORMAL,ROUTINE
MPLADS-000135,0,0,LOW,NORMAL,ROUTINE
MPLADS-000136,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000137,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000138,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000139,0,0,LOW,NORMAL,ROUTINE
MPLADS-000140,0,0,LOW,NORMAL,ROUTINE
MPLADS-000141,1,1,CRITICAL,GHOST_WORK,URGENT
MPLADS-000142,0,0,LOW,NORMAL,ROUTINE
MPLADS-000143,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000144,0,0,LOW,NORMAL,ROUTINE
MPLADS-000145,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000146,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000147,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000148,1,1,HIGH,DOCUMENTATION_DEFICIT,ELEVATED
MPLADS-000149,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000150,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000151,0,0,LOW,NORMAL,ROUTINE
MPLADS-000152,0,0,LOW,NORMAL,ROUTINE
MPLADS-000153,0,0,LOW,NORMAL,ROUTINE
MPLADS-000154,0,0,LOW,NORMAL,ROUTINE
MPLADS-000155,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000156,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000157,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000158,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000159,0,0,LOW,NORMAL,ROUTINE
MPLADS-000160,0,0,LOW,NORMAL,ROUTINE
MPLADS-000161,0,0,LOW,NORMAL,ROUTINE
MPLADS-000162,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000163,0,0,LOW,NORMAL,ROUTINE
MPLADS-000164,0,0,LOW,NORMAL,ROUTINE
MPLADS-000165,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000166,0,0,LOW,NORMAL,ROUTINE
MPLADS-000167,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000168,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000169,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000170,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000171,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000172,1,1,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,ELEVATED
MPLADS-000173,0,0,LOW,NORMAL,ROUTINE
MPLADS-000174,0,0,LOW,NORMAL,ROUTINE
MPLADS-000175,0,0,LOW,NORMAL,ROUTINE
MPLADS-000176,0,0,LOW,NORMAL,ROUTINE
MPLADS-000177,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000178,0,0,LOW,NORMAL,ROUTINE
MPLADS-000179,0,0,LOW,NORMAL,ROUTINE
MPLADS-000180,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000181,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000182,0,0,LOW,NORMAL,ROUTINE
MPLADS-000183,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000184,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000185,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000186,0,0,LOW,NORMAL,ROUTINE
MPLADS-000187,0,0,LOW,NORMAL,ROUTINE
MPLADS-000188,0,0,LOW,NORMAL,ROUTINE
MPLADS-000189,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000190,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000191,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000192,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000193,0,0,LOW,NORMAL,ROUTINE
MPLADS-000194,1,1,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,ELEVATED
MPLADS-000195,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000196,0,0,LOW,NORMAL,ROUTINE
MPLADS-000197,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000198,0,0,LOW,NORMAL,ROUTINE
MPLADS-000199,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000200,0,0,LOW,NORMAL,ROUTINE
MPLADS-000201,0,0,LOW,NORMAL,ROUTINE
MPLADS-000202,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000203,0,0,LOW,NORMAL,ROUTINE
MPLADS-000204,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000205,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000206,0,0,LOW,NORMAL,ROUTINE
MPLADS-000207,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000208,0,0,LOW,NORMAL,ROUTINE
MPLADS-000209,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000210,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000211,0,0,LOW,NORMAL,ROUTINE
MPLADS-000212,0,0,LOW,NORMAL,ROUTINE
MPLADS-000213,0,0,LOW,NORMAL,ROUTINE
MPLADS-000214,0,0,LOW,NORMAL,ROUTINE
MPLADS-000215,0,0,LOW,NORMAL,ROUTINE
MPLADS-000216,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000217,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000218,0,0,LOW,NORMAL,ROUTINE
MPLADS-000219,0,0,LOW,NORMAL,ROUTINE
MPLADS-000220,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000221,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000222,0,0,LOW,NORMAL,ROUTINE
MPLADS-000223,1,1,HIGH,ABANDONED_WORK,ELEVATED
MPLADS-000224,0,0,LOW,NORMAL,ROUTINE
MPLADS-000225,0,0,LOW,NORMAL,ROUTINE
MPLADS-000226,0,0,LOW,NORMAL,ROUTINE
MPLADS-000227,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000228,0,0,LOW,NORMAL,ROUTINE
MPLADS-000229,0,0,LOW,NORMAL,ROUTINE
MPLADS-000230,0,0,LOW,NORMAL,ROUTINE
MPLADS-000231,0,0,LOW,NORMAL,ROUTINE
MPLADS-000232,0,0,LOW,NORMAL,ROUTINE
MPLADS-000233,0,0,LOW,NORMAL,ROUTINE
MPLADS-000234,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000235,0,0,LOW,NORMAL,ROUTINE
MPLADS-000236,0,0,LOW,NORMAL,ROUTINE
MPLADS-000237,0,0,LOW,NORMAL,ROUTINE
MPLADS-000238,1,1,HIGH,ABANDONED_WORK,ELEVATED
MPLADS-000239,0,0,LOW,NORMAL,ROUTINE
MPLADS-000240,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000241,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000242,0,0,LOW,NORMAL,ROUTINE
MPLADS-000243,0,0,LOW,NORMAL,ROUTINE
MPLADS-000244,0,0,LOW,NORMAL,ROUTINE
MPLADS-000245,0,0,LOW,NORMAL,ROUTINE
MPLADS-000246,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000247,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000248,0,0,LOW,NORMAL,ROUTINE
MPLADS-000249,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000250,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000251,0,0,LOW,NORMAL,ROUTINE
MPLADS-000252,0,0,LOW,NORMAL,ROUTINE
MPLADS-000253,0,0,LOW,NORMAL,ROUTINE
MPLADS-000254,0,0,LOW,NORMAL,ROUTINE
MPLADS-000255,0,0,LOW,NORMAL,ROUTINE
MPLADS-000256,0,0,LOW,NORMAL,ROUTINE
MPLADS-000257,0,0,LOW,NORMAL,ROUTINE
MPLADS-000258,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000259,0,0,LOW,NORMAL,ROUTINE
MPLADS-000260,0,0,LOW,NORMAL,ROUTINE
MPLADS-000261,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000262,0,0,LOW,NORMAL,ROUTINE
MPLADS-000263,0,0,LOW,NORMAL,ROUTINE
MPLADS-000264,0,0,LOW,NORMAL,ROUTINE
MPLADS-000265,1,1,HIGH,PROCUREMENT_SINGLE_BID,ELEVATED
MPLADS-000266,0,0,LOW,NORMAL,ROUTINE
MPLADS-000267,0,0,LOW,NORMAL,ROUTINE
MPLADS-000268,1,1,HIGH,ABANDONED_WORK,ELEVATED
MPLADS-000269,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000270,0,0,LOW,NORMAL,ROUTINE
MPLADS-000271,0,0,LOW,NORMAL,ROUTINE
MPLADS-000272,0,0,LOW,NORMAL,ROUTINE
MPLADS-000273,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000274,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000275,0,0,LOW,NORMAL,ROUTINE
MPLADS-000276,0,0,LOW,NORMAL,ROUTINE
MPLADS-000277,1,1,HIGH,PROCUREMENT_SINGLE_BID,ELEVATED
MPLADS-000278,0,0,LOW,NORMAL,ROUTINE
MPLADS-000279,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000280,1,1,HIGH,DOCUMENTATION_DEFICIT,ELEVATED
MPLADS-000281,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000282,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000283,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000284,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000285,0,0,LOW,NORMAL,ROUTINE
MPLADS-000286,0,0,LOW,NORMAL,ROUTINE
MPLADS-000287,1,1,HIGH,DOCUMENTATION_DEFICIT,ELEVATED
MPLADS-000288,0,0,LOW,NORMAL,ROUTINE
MPLADS-000289,0,0,LOW,NORMAL,ROUTINE
MPLADS-000290,0,0,LOW,NORMAL,ROUTINE
MPLADS-000291,0,0,LOW,NORMAL,ROUTINE
MPLADS-000292,0,0,LOW,NORMAL,ROUTINE
MPLADS-000293,0,0,LOW,NORMAL,ROUTINE
MPLADS-000294,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000295,0,0,LOW,NORMAL,ROUTINE
MPLADS-000296,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000297,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000298,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000299,0,0,LOW,NORMAL,ROUTINE
MPLADS-000300,0,0,LOW,NORMAL,ROUTINE
MPLADS-000301,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000302,0,0,LOW,NORMAL,ROUTINE
MPLADS-000303,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000304,0,0,LOW,NORMAL,ROUTINE
MPLADS-000305,0,0,LOW,NORMAL,ROUTINE
MPLADS-000306,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000307,0,0,LOW,NORMAL,ROUTINE
MPLADS-000308,0,0,LOW,NORMAL,ROUTINE
MPLADS-000309,0,0,LOW,NORMAL,ROUTINE
MPLADS-000310,0,0,LOW,NORMAL,ROUTINE
MPLADS-000311,1,1,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,ELEVATED
MPLADS-000312,0,0,LOW,NORMAL,ROUTINE
MPLADS-000313,0,0,LOW,NORMAL,ROUTINE
MPLADS-000314,1,1,HIGH,PROCUREMENT_SINGLE_BID,ELEVATED
MPLADS-000315,0,0,LOW,NORMAL,ROUTINE
MPLADS-000316,0,0,LOW,NORMAL,ROUTINE
MPLADS-000317,0,0,LOW,NORMAL,ROUTINE
MPLADS-000318,0,0,LOW,NORMAL,ROUTINE
MPLADS-000319,0,0,LOW,NORMAL,ROUTINE
MPLADS-000320,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000321,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000322,0,0,LOW,NORMAL,ROUTINE
MPLADS-000323,0,0,LOW,NORMAL,ROUTINE
MPLADS-000324,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000325,0,0,LOW,NORMAL,ROUTINE
MPLADS-000326,0,0,LOW,NORMAL,ROUTINE
MPLADS-000327,0,0,LOW,NORMAL,ROUTINE
MPLADS-000328,0,0,LOW,NORMAL,ROUTINE
MPLADS-000329,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000330,0,0,LOW,NORMAL,ROUTINE
MPLADS-000331,1,1,HIGH,PROCUREMENT_SINGLE_BID,ELEVATED
MPLADS-000332,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000333,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000334,0,0,LOW,NORMAL,ROUTINE
MPLADS-000335,0,0,LOW,NORMAL,ROUTINE
MPLADS-000336,0,0,LOW,NORMAL,ROUTINE
MPLADS-000337,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000338,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000339,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000340,0,0,LOW,NORMAL,ROUTINE
MPLADS-000341,0,0,LOW,NORMAL,ROUTINE
MPLADS-000342,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000343,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000344,0,0,LOW,NORMAL,ROUTINE
MPLADS-000345,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000346,0,0,LOW,NORMAL,ROUTINE
MPLADS-000347,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000348,0,0,LOW,NORMAL,ROUTINE
MPLADS-000349,0,0,LOW,NORMAL,ROUTINE
MPLADS-000350,0,0,LOW,NORMAL,ROUTINE
MPLADS-000351,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000352,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000353,0,0,LOW,NORMAL,ROUTINE
MPLADS-000354,0,0,LOW,NORMAL,ROUTINE
MPLADS-000355,0,0,LOW,NORMAL,ROUTINE
MPLADS-000356,0,0,LOW,NORMAL,ROUTINE
MPLADS-000357,1,1,CRITICAL,GHOST_WORK,URGENT
MPLADS-000358,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000359,0,0,LOW,NORMAL,ROUTINE
MPLADS-000360,0,0,LOW,NORMAL,ROUTINE
MPLADS-000361,1,1,CRITICAL,COST_OVERRUN,URGENT
MPLADS-000362,1,1,CRITICAL,PAYMENT_PROGRESS_MISMATCH,URGENT
MPLADS-000363,0,0,LOW,NORMAL,ROUTINE
MPLADS-000364,0,0,LOW,NORMAL,ROUTINE
MPLADS-000365,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000366,1,1,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,ELEVATED
MPLADS-000367,0,0,LOW,NORMAL,ROUTINE
MPLADS-000368,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000369,0,0,LOW,NORMAL,ROUTINE
MPLADS-000370,1,1,HIGH,PROCUREMENT_SINGLE_BID,ELEVATED
MPLADS-000371,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000372,0,0,LOW,NORMAL,ROUTINE
MPLADS-000373,0,0,LOW,NORMAL,ROUTINE
MPLADS-000374,0,0,LOW,NORMAL,ROUTINE
MPLADS-000375,0,0,LOW,NORMAL,ROUTINE
MPLADS-000376,0,0,LOW,NORMAL,ROUTINE
MPLADS-000377,0,0,LOW,NORMAL,ROUTINE
MPLADS-000378,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000379,1,1,HIGH,DELAYED_WORK,ELEVATED
MPLADS-000380,0,0,MEDIUM,HIGH_VALUE_LEGITIMATE,ROUTINE
MPLADS-000381,0,0,LOW,NORMAL,ROUTINE
MPLADS-000382,0,0,LOW,NORMAL,ROUTINE
MPLADS-000383,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000384,0,0,LOW,LEGITIMATE_REMOTE_SINGLE_BID,ROUTINE
MPLADS-000385,0,0,LOW,NORMAL,ROUTINE
MPLADS-000386,0,0,LOW,NORMAL,ROUTINE
MPLADS-000387,0,0,LOW,LEGITIMATE_WEATHER_DELAY,ROUTINE
MPLADS-000388,0,0,LOW,NORMAL,ROUTINE
